Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
sg-rp-club-batting-legguard-junior-rh,SG RP Club Batting Legguard,"<p>Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection. A wear-resistant PVC instep with hard-wearing piping, combined with added protection on the top hat and side wing, ensures comfort and safety. Designed for junior cricketers, this leg guard is perfect for those who want to play with confidence.</p>",TeamSG,Cricket Protective Gear,Leg Guard,"cricket, leg guard, protective gear",true,Size,Junior / rh,,,,,SG01BA050428,,,,,,2159.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_635796c6-abc8-40bf-8bf3-712a33579f5f.png?v=1752151886&width=1920,,,,SG RP Club Batting Legguard,"Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection.",,,,,,,,,,,,,,,,,
sg-rp-club-batting-legguard-s-junior-lh,SG RP Club Batting Legguard,"<p>Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection. A wear-resistant PVC instep with hard-wearing piping, combined with added protection on the top hat and side wing, ensures comfort and safety. Designed for S.Junior cricketers, this leg guard is perfect for those who want to play with confidence.</p>",TeamSG,Cricket Protective Gear,Leg Guard,"cricket, leg guard, protective gear",true,Size,S.Junior / lh,,,,,SG01BA050440,,,,,,2159.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_635796c6-abc8-40bf-8bf3-712a33579f5f.png?v=1752151886&width=1920,,,,SG RP Club Batting Legguard,"Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection.",,,,,,,,,,,,,,,,,
sg-rp-club-batting-legguard-xs-junior-lh,SG RP Club Batting Legguard,"<p>Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection. A wear-resistant PVC instep with hard-wearing piping, combined with added protection on the top hat and side wing, ensures comfort and safety. Designed for XS.Junior cricketers, this leg guard is perfect for those who want to play with confidence.</p>",TeamSG,Cricket Protective Gear,Leg Guard,"cricket, leg guard, protective gear",true,Size,XS.Junior / lh,,,,,SG01BA050441,,,,,,2159.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_635796c6-abc8-40bf-8bf3-712a33579f5f.png?v=1752151886&width=1920,,,,SG RP Club Batting Legguard,"Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection.",,,,,,,,,,,,,,,,,
sg-rp-club-batting-legguard-xs-junior-rh,SG RP Club Batting Legguard,"<p>Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection. A wear-resistant PVC instep with hard-wearing piping, combined with added protection on the top hat and side wing, ensures comfort and safety. Designed for XS.Junior cricketers, this leg guard is perfect for those who want to play with confidence.</p>",TeamSG,Cricket Protective Gear,Leg Guard,"cricket, leg guard, protective gear",true,Size,XS.Junior / rh,,,,,SG01BA050434,,,,,,2159.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_635796c6-abc8-40bf-8bf3-712a33579f5f.png?v=1752151886&width=1920,,,,SG RP Club Batting Legguard,"Made from high-quality PVC facing, this leg guard features traditionally shaped cotton-filled knee rolls and low-density foam reinforcement for essential protection.",,,,,,,,,,,,,,,,,
sg-supalite-cricket-batting-chest-guard-junior,SG Supalite cricket batting chest guard,"<p>Made from light weight low density foam. Pre-shaped with tapered edges for the perfect moulded fit. Soft absorbent towel back. Shaped to give maximum protection to the chest and kidney region. Elastic straps on top and bottom for easy adjustments. Available in sizes adult, youth & junior.</p>",TeamSG,Cricket Protective Gear,Chest Guard,"cricket, chest guard, protective gear",true,Size,Junior,,,,,SG01CH070004,,,,,,579.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_53.png?v=1732184810&width=1920,,,,SG Supalite cricket batting chest guard,Made from light weight low density foam. Pre-shaped with tapered edges for the perfect moulded fit.,,,,,,,,,,,,,,,,,
sg-supalite-cricket-batting-chest-guard-youth,SG Supalite cricket batting chest guard,"<p>Made from light weight low density foam. Pre-shaped with tapered edges for the perfect moulded fit. Soft absorbent towel back. Shaped to give maximum protection to the chest and kidney region. Elastic straps on top and bottom for easy adjustments. Available in sizes adult, youth & junior.</p>",TeamSG,Cricket Protective Gear,Chest Guard,"cricket, chest guard, protective gear",true,Size,Youth,,,,,SG01CH070003,,,,,,579.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_53.png?v=1732184810&width=1920,,,,SG Supalite cricket batting chest guard,Made from light weight low density foam. Pre-shaped with tapered edges for the perfect moulded fit.,,,,,,,,,,,,,,,,,
sg-supalite-cricket-batting-chest-guard-adult,SG Supalite cricket batting chest guard - Adult,"<p>• Made from light weight low density foam.• Pre-shaped with tapered edges for the perfect moulded fit.• Soft absorbent towel back.• Shaped to give maximum protection to the chest and kidney region.• Elastic straps on top and bottom for easy adjustments.• Available in sizes adult, youth &amp; junior.\xa0 Size:\xa0\xa0 \xa0 \xa0 \xa0 \xa0Adult dimensions: 100-105(40) CM\xa0 \xa0 \xa0 \xa0 \xa0Youth dimensions: 95-100(38) CM\xa0 \xa0 \xa0 \xa0 \xa0Junior dimensions: 90-95(36) CM\xa0 Quantity: (One) 1 Number \xa0 \xa0 \xa0
</p>",TeamSG,,,,,Size,Adult,,,,,SG01CH070001,,,,,,649.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitleddesign_53.png?v=1732184810&width=1920,,,,SG Supalite cricket batting chest guard,"• Made from light weight low density foam.• Pre-shaped with tapered edges for the perfect moulded fit.• Soft absorbent towel back.• Shaped to give maximum protection to the chest and kidney region.• Elastic straps on top and bottom for easy adjustments.• Available in sizes adult, youth &amp; junior.\xa0 Size:\xa0\xa0 \xa0 \xa0 \xa0 \xa0Adu",,,,,,,,,,,,,,,,,
sg-supalite-cricket-batting-chest-guard-youth,SG Supalite cricket batting chest guard - Youth,"<p>• Made from light weight low density foam.• Pre-shaped with tapered edges for the perfect moulded fit.• Soft absorbent towel back.• Shaped to give maximum protection to the chest and kidney region.• Elastic straps on top and bottom for easy adjustments.• Available in sizes adult, youth &amp; junior.\xa0 Size:\xa0\xa0 \xa0 \xa0 \xa0 \xa0Adult dimensions: 100-105(40) CM\xa0 \xa0 \xa0 \xa0 \xa0Youth dimensions: 95-100(38) CM\xa0 \xa0 \xa0 \xa0 \xa0Junior dimensions: 90-95(36) CM\xa0 Quantity: (One) 1 Number \xa0 \xa0 \xa0
</p>",TeamSG,,,,,Size,Youth,,,,,SG01CH070003,,,,,,579.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitleddesign_53.png?v=1732184810&width=1920,,,,SG Supalite cricket batting chest guard,"• Made from light weight low density foam.• Pre-shaped with tapered edges for the perfect moulded fit.• Soft absorbent towel back.• Shaped to give maximum protection to the chest and kidney region.• Elastic straps on top and bottom for easy adjustments.• Available in sizes adult, youth &amp; junior.\xa0 Size:\xa0\xa0 \xa0 \xa0 \xa0 \xa0Adu",,,,,,,,,,,,,,,,,
sg-supalite-cricket-batting-chest-guard-junior,SG Supalite cricket batting chest guard - Junior,"<p>• Made from light weight low density foam.• Pre-shaped with tapered edges for the perfect moulded fit.• Soft absorbent towel back.• Shaped to give maximum protection to the chest and kidney region.• Elastic straps on top and bottom for easy adjustments.• Available in sizes adult, youth &amp; junior.\xa0 Size:\xa0\xa0 \xa0 \xa0 \xa0 \xa0Adult dimensions: 100-105(40) CM\xa0 \xa0 \xa0 \xa0 \xa0Youth dimensions: 95-100(38) CM\xa0 \xa0 \xa0 \xa0 \xa0Junior dimensions: 90-95(36) CM\xa0 Quantity: (One) 1 Number \xa0 \xa0 \xa0
</p>",TeamSG,,,,,Size,Junior,,,,,SG01CH070004,,,,,,579.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitleddesign_53.png?v=1732184810&width=1920,,,,SG Supalite cricket batting chest guard,"• Made from light weight low density foam.• Pre-shaped with tapered edges for the perfect moulded fit.• Soft absorbent towel back.• Shaped to give maximum protection to the chest and kidney region.• Elastic straps on top and bottom for easy adjustments.• Available in sizes adult, youth &amp; junior.\xa0 Size:\xa0\xa0 \xa0 \xa0 \xa0 \xa0Adu",,,,,,,,,,,,,,,,,
sg-premium-combo-kit-sh,SG Premium Combo Kit - SH,"<p>Complete Cricket Kit for Beginners of Age Group 15-16, 10-11 &amp; 13-14 Years. Includes Premium Quality Products, Cricket Bat (with cover) +Legguard + Batting Gloves + Thigh Guard + Arm Guard + Arm Guard + Abdo Guard + Duffle Bag + Helmet English Willow Cricket Bat: Featuring a thick profile that enhances balance and provides a lightweight pickup, perfect for aggressive stroke play. SG Ace Duffle Bag with External bat Pocket and Water Bottle Pocket SG Ecolite Batting Legguards: Crafted from high-quality PVC with traditionally shaped knee rolls, reinforced with low-density foam, and wear-resistant PVC instep with extra protection on the top hat and side wing. SG Ecolite Batting Gloves Batting Gloves: Premium leather palms, non-toxic PVC with cotton-filled finger rolls, TPU shell on the top fingers for extra protection, and sponge-padded spacer mesh for comfort and flexibility. SG Super Test Thigh Guard and Elbow Guard SG Tournament Abdominal Guard SG Blazetech Cricket Helmet: Features a polypropylene outer shell for impact resistance, a polystyrene inner shell for shock absorption, EVA foam pads with ventilation, and a steel visor for a personalized fit.</p>",TeamSG,,,,,Size,SH,,,,,SG01CO100079,,,,,,8543.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_1_f42cd381-5438-487c-8dc2-490ececc06cb.png?v=1761718766&width=1920,,,,SG Premium Combo Kit,"Complete Cricket Kit for Beginners of Age Group 15-16, 10-11 &amp; 13-14 Years. Includes Premium Quality Products, Cricket Bat (with cover) +Legguard + Batting Gloves + Thigh Guard + Arm Guard + Arm Guard + Abdo Guard + Duffle Bag + Helmet English Willow Cricket Bat: Featuring a thick profile that enhances balance and provides a lightweight pickup, perfect for aggressive stroke play.",,,,,,,,,,,,,,,,,
